team_name,Discipline,Country
Australia,Archery,Australia
Indonesia,Archery,Indonesia
Gibb/Bourne,Beach Volleyball,United States of America
New Zealand,Football,New Zealand
Germany,Triathlon,Germany
Leshukov/Semenov,Beach Volleyball,ROC
Italy,Fencing,Italy
India,Athletics,India
Keizer/Meppelink,Beach Volleyball,Netherlands
China,Rhythmic Gymnastics,People's Republic of China
Egypt,Rhythmic Gymnastics,Egypt
MIZUTANI Jun / ITO Mima,Table Tennis,Japan
India,Hockey,India
Sweden,Swimming,Sweden
Netherlands,Artistic Gymnastics,Netherlands
South Africa,Water Polo,South Africa
Turkey,Archery,Turkey
Canada,Rugby Sevens,Canada
Mongolia,Archery,Mongolia
France,Athletics,France
Poland,Swimming,Poland
China,Swimming,People's Republic of China
Japan,Football,Japan
Brazil,Handball,Brazil
Uzbekistan,Rhythmic Gymnastics,Uzbekistan
Kazakhstan,Archery,Kazakhstan
Spain,Archery,Spain
Spain,Basketball,Spain
China,Table Tennis,People's Republic of China
Egypt,Table Tennis,Egypt
Belgium,Artistic Gymnastics,Belgium
United States,Athletics,United States of America
Belgium,Cycling Track,Belgium
Spain,Artistic Gymnastics,Spain
Spain,Artistic Swimming,Spain
Claes/Sponcil,Beach Volleyball,United States of America
Italy,Water Polo,Italy
Serbia,Basketball,Serbia
Ana Patricia/Rebecca,Beach Volleyball,Brazil
Ukraine,Fencing,Ukraine
Japan,Swimming,Japan
Mongolia,3x3 Basketball,Mongolia
Italy,Artistic Gymnastics,Italy
China,Athletics,People's Republic of China
Japan,Artistic Gymnastics,Japan
Dominican Rep.,Athletics,Dominican Republic
Montenegro,Handball,Montenegro
Lucena/Dalhausser,Beach Volleyball,United States of America
Czech Republic,Swimming,Czech Republic
Mexico,Cycling Track,Mexico
Islamic Rep. of Iran,Fencing,Islamic Republic of Iran
ASSAR Omar / MESHREF Dina,Table Tennis,Egypt
ROC,Handball,ROC
Netherlands,Archery,Netherlands
South Africa,Artistic Swimming,South Africa
Spain,Athletics,Spain
Mexico,Football,Mexico
Spain,Water Polo,Spain
Egypt,Artistic Swimming,Egypt
Kazakhstan,Artistic Swimming,Kazakhstan
ROC,3x3 Basketball,ROC
Mexico,Artistic Swimming,Mexico
South Africa,Athletics,South Africa
McHugh/Schumann,Beach Volleyball,Australia
Germany,Cycling Track,Germany
Japan,Fencing,Japan
Malaysia,Archery,Malaysia
Gallay/Pereyra,Beach Volleyball,Argentina
"Hong Kong, China",Table Tennis,"Hong Kong, China"
PISTEJ Lubomir / BALAZOVA Barbora,Table Tennis,Slovakia
France,Volleyball,France
Republic of Korea,Archery,Republic of Korea
Ghana,Athletics,Ghana
Norway,Handball,Norway
Slovenia,Table Tennis,Slovenia
Hungary,Triathlon,Hungary
Turkey,Volleyball,Turkey
Switzerland,Swimming,Switzerland
Abicha/Elgraoui,Beach Volleyball,Morocco
Belarus,Swimming,Belarus
Hungary,Water Polo,Hungary
Chinese Taipei,Table Tennis,Chinese Taipei
Colombia,Artistic Swimming,Colombia
Cherif/Ahmed,Beach Volleyball,Qatar
Japan,Triathlon,Japan
Great Britain,Artistic Gymnastics,Great Britain
Ukraine,Athletics,Ukraine
Bangladesh,Archery,Bangladesh
Denmark,Athletics,Denmark
Germany,Athletics,Germany
Latvia,3x3 Basketball,Latvia
Chinese Taipei,Artistic Gymnastics,Chinese Taipei
Colombia,Athletics,Colombia
Turkey,Athletics,Turkey
Gaxiola/Rubio,Beach Volleyball,Mexico
Trinidad & Tobago,Athletics,Trinidad and Tobago
Colombia,Archery,Colombia
United States,3x3 Basketball,United States of America
Bansley/Brandie,Beach Volleyball,Canada
Japan,Athletics,Japan
Canada,Fencing,Canada
Brazil,Volleyball,Brazil
Bulgaria,Rhythmic Gymnastics,Bulgaria
United States,Rugby Sevens,United States of America
Bahamas,Athletics,Bahamas
Republic of Korea,Swimming,Republic of Korea
Kazakhstan,Water Polo,Kazakhstan
Australia,Cycling Track,Australia
Liechtenstein,Artistic Swimming,Liechtenstein
Australia,Table Tennis,Australia
Ireland,Athletics,Ireland
Japan,Rhythmic Gymnastics,Japan
Mexico,Triathlon,Mexico
Netherlands,Triathlon,Netherlands
Ireland,Cycling Track,Ireland
Hungary,Swimming,Hungary
WANG Zhen / ZHANG Mo,Table Tennis,Canada
Australia,Athletics,Australia
CAMPOS Jorge / FONSECA Daniela,Table Tennis,Cuba
Islamic Rep. of Iran,Basketball,Islamic Republic of Iran
France,Fencing,France
Fiji,Rugby Sevens,Fiji
Sweden,Table Tennis,Sweden
India,Archery,India
France,Artistic Swimming,France
United States,Football,United States of America
Brazil,Rugby Sevens,Brazil
Belarus,Archery,Belarus
Mexico,Archery,Mexico
FRANZISKA Patrick / SOLJA Petrissa,Table Tennis,Germany
Estonia,Fencing,Estonia
Netherlands,Hockey,Netherlands
Japan,Basketball,Japan
Italy,Rhythmic Gymnastics,Italy
Egypt,Archery,Egypt
Czech Republic,Basketball,Czech Republic
Alison/Alvaro Filho,Beach Volleyball,Brazil
Ukraine,Rhythmic Gymnastics,Ukraine
Germany,Archery,Germany
Sweden,Handball,Sweden
Belgium,Hockey,Belgium
IONESCU Ovidiu / SZOCS Bernadette,Table Tennis,Romania
New Zealand,Cycling Track,New Zealand
Romania,Football,Romania
New Zealand,Rugby Sevens,New Zealand
ROC,Triathlon,ROC
Canada,Athletics,Canada
April/Alix,Beach Volleyball,United States of America
Australia,Hockey,Australia
Belgium,Basketball,Belgium
Republic of Korea,Fencing,Republic of Korea
Japan,Handball,Japan
Australia,Football,Australia
HU Heming / TAPPER Melissa,Table Tennis,Australia
China,Water Polo,People's Republic of China
Japan,Artistic Swimming,Japan
Ecuador,Athletics,Ecuador
Canada,Baseball/Softball,Canada
Belarus,Rhythmic Gymnastics,Belarus
Switzerland,Triathlon,Switzerland
Switzerland,Cycling Track,Switzerland
ROC,Swimming,ROC
Australia,Triathlon,Australia
Vietnam,Archery,Vietnam
Hungary,Fencing,Hungary
ROC,Artistic Gymnastics,ROC
Japan,Hockey,Japan
Greece,Swimming,Greece
Ireland,Swimming,Ireland
Grimalt M./Grimalt E.,Beach Volleyball,Chile
Argentina,Football,Argentina
Serbia,Water Polo,Serbia
Cuba,Athletics,Cuba
United States,Triathlon,United States of America
Canada,Volleyball,Canada
United States,Basketball,United States of America
LEE Sangsu / JEON Jihee,Table Tennis,Republic of Korea
France,3x3 Basketball,France
Great Britain,Rugby Sevens,Great Britain
ROC,Rugby Sevens,ROC
Puerto Rico,Basketball,Puerto Rico
Kantor/Losiak,Beach Volleyball,Poland
Serbia,Swimming,Serbia
Canada,Football,Canada
Italy,Triathlon,Italy
United States,Volleyball,United States of America
Canada,Water Polo,Canada
Belarus,Athletics,Belarus
Brouwer/Meeuwsen,Beach Volleyball,Netherlands
Hungary,Handball,Hungary
Republic of Korea,Rugby Sevens,Republic of Korea
Republic of Korea,Baseball/Softball,Republic of Korea
Germany,Swimming,Germany
Switzerland,Artistic Gymnastics,Switzerland
Mol A./Sorum C.,Beach Volleyball,Norway
Huberli/Betschart,Beach Volleyball,Switzerland
Chinese Taipei,Archery,Chinese Taipei
Italy,Swimming,Italy
Mexico,Baseball/Softball,Mexico
Stam/Schoon,Beach Volleyball,Netherlands
Brazil,Football,Brazil
Italy,Cycling Track,Italy
Angola,Handball,Angola
Great Britain,Hockey,Great Britain
Argentina,Basketball,Argentina
Germany,Hockey,Germany
LEBESSON Emmanuel / YUAN Jia Nan,Table Tennis,France
Republic of Korea,Basketball,Republic of Korea
Ukraine,Cycling Track,Ukraine
Germany,Fencing,Germany
Montenegro,Water Polo,Montenegro
Republic of Korea,Football,Republic of Korea
Canada,Artistic Swimming,Canada
France,Table Tennis,France
ACHANTA Kamal / BATRA Manika,Table Tennis,India
Germany,Basketball,Germany
Bahrain,Handball,Bahrain
Venezuela,Volleyball,Venezuela
Belgium,Athletics,Belgium
Artacho Del Solar/Clancy,Beach Volleyball,Australia
China,Football,People's Republic of China
Netherlands,Football,Netherlands
Hungary,Table Tennis,Hungary
Switzerland,Athletics,Switzerland
Canada,Basketball,Canada
Carambula/Rossi,Beach Volleyball,Italy
Romania,Table Tennis,Romania
Netherlands,Artistic Swimming,Netherlands
Switzerland,Fencing,Switzerland
Denmark,Handball,Denmark
Kenya,Rugby Sevens,Kenya
Brazil,Archery,Brazil
Brazil,Artistic Gymnastics,Brazil
"Hong Kong, China",Fencing,"Hong Kong, China"
China,Hockey,People's Republic of China
Italy,Archery,Italy
Greece,Water Polo,Greece
Israel,Baseball/Softball,Israel
United States,Rhythmic Gymnastics,United States of America
Great Britain,Artistic Swimming,Great Britain
Ireland,Hockey,Ireland
FEGERL Stefan / POLCANOVA Sofia,Table Tennis,Austria
Great Britain,Swimming,Great Britain
China,Artistic Swimming,People's Republic of China
